CÓDIGO OCORRÊNCIA;DESCRIÇÃO DEFEITO RECLAMADO
DE-126;NÚMERO DE SÉRIE EXTERNO DIF COM NÚMERO INTERNO
DE-127;NOBREAK NÃO LIGA UPEX
DE-128;NÚMERO SERIAL COM DÍGITO A MAIS
DE-129;PLACA FTV3000 NÃO LIBERA 5V
DE-130;LEITORA QUEIMANDO CARTÃO
DE-131;RECOLOQUE CARTÃO
DE-132;REGULAGEM DO FOCO DA CÂMERA
DE-133;REINICIANDO
DE-134;SEM OPÇÃO DE FECHAR VIAGEM
DE-135;SETOR DANIFICADO
DE-136;SOLDA FRIA
DE-137;TARJA PRETA
DE-138;TECLADO DANIFICADO
DE-139;SOFTWARE COM VISUALIZAÇÃO INVERTIDA
DE-140;TOUCHSCREEN NÃO ACEITA COMANDO
DE-141;TRILHAS ROMPIDAS
DE-142;UPEX NÃO COMUNICA COM CCIT
DE-143;CCIT NÃO COMUNICA COM UPEX
DE-144;PAINEL DE MOTORISTA NÃO COMUNICA COM UPEX
DE-145;LEITORA INFERIOR DANIFICADA
DE-146;LEITORA SUPERIOR DANIFICADA
DE-147;NÃO COMUNICA GPRS
DE-148;ENGRENAGEM QUEBRADA
DE-149;CABO DANIFICADO
DE-150;NÃO GRAVA SUPERVISOR
DE-151;NÃO GRAVA BOOT LOADER
DE-152;NÃO GRAVA EPROM
DE-153;NÃO GRAVA EPLD
DE-154;NÃO FAZ LEITURA DIGITAL
DE-155;BOTÃO LIGA/DESLIGA PAINEL MOTORISTA DANIFICADO
DE-156;NÃO INVERTE PARA O FLUXO DE SAÍDA
DE-157;CABO DE COMUNICAÇÃO DO SENSOR DE PORTA INVERTIDO
DE-158;NÃO LIBERA 12V
DE-159;CARTÃO DE BOOT VENCIDO
DE-160;USB NÃO FUNCIONA
DE-161;ERRO HW GENÉRICO
DE-162;LIMPEZA PREVENTIVA
DE-163;DESMOBILIZAÇÃO DA FILIAL
DE-164;DVR DANIFICADA
DE-165;TROCA DA PLACA AMO
DE-166;TROCA DA PLACA MÃE
DE-167;CHAVE SWITCH DANIFICADA 
DE-168;EQUIPAMENTO ABERTO
DE-169;MODIFICAÇÃO
DE-170;TELA QUEBRADA
DE-171;REINCIDENTE
DE-172;REGRAVANDO FTDI/MAC/FW
DE-173;NÃO CALIBRA ACELERÔMETRO
DE-174;EQUIPAMENTO COM VIAGEM ABERTA
DE-175;NÃO CARREGA ROM
DE-176;ROM PARA DE CARREGAR ANTES DO FIM DO PROCESSO
DE-177;NÃO REGULA TENSÃO PARA CARREGAR BATERIA
DE-178;DISPLAY FORA DA TONALIDADE 
DE-179;VALIDADOR DE NOTAS NÃO RECONHECE NOTAS 
DE-180;ERRO DE COMUNICAÇÃO (COFRE)
DE-181;PAINEL LIGANDO SOZINHO 
DE-182;TELA COM DEFEITO 
DE-183;NÃO RECOLHE CARTÃO UNITÁRIO
DE-184;NÃO AFERE VELOCIDADE
DE-185;NÃO AFERE RPM
DE-186;NÃO RECONHECE CARTÃO SD CARD
DE-187;UT NÃO COMUNICA COM A UPEX
DE-188;BATERIA INCHADA
DE-189;EQUIPAMENTO TRAVADO
DE-190;TAMBOR DANIFICADO
DE-191;NÃO FUNCIONA TELEMETRIA
DE-192;DELAY
DE-193;INICIANDO A TELA RECOVERY
DE-194;NÃO RECONHECE CHIP
