DATA;ID CONTRATO;CONTRATO;ID OPERADORA;OPERADORA;COD EQUIPAMENTO;EQUIPAMENTO;FROTA;QTD;%
44228;COT1;Transfacil;OP27;TRANSFÁCIL;EQ28;ATM;70;36;51%
44228;COT2;Transcard;OP61;SETPS (TRANSCARD);EQ28;ATM;46;16;35%
44228;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;13;27%
44228;COT10;Metropolitano-Bahia;OP64;METROPOLITANO ;EQ28;ATM;1;0;0%
44228;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;27;90%
44256;COT1;Transfacil;OP27;TRANSFÁCIL;EQ28;ATM;70;47;67%
44256;COT2;Transcard;OP61;SETPS (TRANSCARD);EQ28;ATM;46;13;28%
44256;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;11;22%
44256;COT10;Metropolitano-Bahia;OP64;METROPOLITANO ;EQ28;ATM;1;0;0%
44256;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;0;0%
44287;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;25;36%
44287;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;33;3;9%
44287;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;11;22%
44287;COT10;Metropolitano-Bahia;OP64;METROPOLITANO ;EQ28;ATM;1;1;100%
44287;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;0;0%
44317;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;37;53%
44317;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;33;15;45%
44317;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;16;33%
44317;COT10;Metropolitano-Bahia;OP64;METROPOLITANO ;EQ28;ATM;1;0;0%
44317;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;6;20%
44348;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;31;44%
